state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density
Oregon,Klamath,69547,70255,70212,5618,15812,16664,10204,11.6,32.7,34.5,21.1,13193.0,79.6235998958062,1.5212294868455327,7.740296952331336,2.0356863766605886,0.527481114873665,2.38,4.30818293883641
Oregon,Lake,8167,8285,8385,847,2056,2017,1154,13.9,33.8,33.2,19.0,1232.0,82.9169406092483,1.2053473591935129,6.092483015559939,1.490247644093798,0.5807582730659654,2.07,0.37207866296494
Oregon,Lane,383279,384063,382353,18736,59763,99373,85523,7.1,22.7,37.7,32.5,53989.0,81.53804533211006,2.2971876212992695,4.336779702882953,3.942976110660221,0.6878624275144971,2.39,31.2570702659662
Oregon,Lincoln,50507,51026,50813,2793,9263,15419,11003,7.3,24.1,40.1,28.6,7633.0,81.52471045248544,1.0233076757067836,6.911373282497663,2.2606287317459177,0.5719013020645997,2.24,18.8565598845291
Oregon,Linn,128978,129948,130467,8686,25556,36702,17529,9.8,28.9,41.5,19.8,15514.0,84.43790789594632,1.2508219788300678,4.472978992695879,1.9776987421072356,0.5734407149978433,2.58,20.742324478479
Oregon,Malheur,31650,31709,31879,3755,6423,7244,2864,18.5,31.7,35.7,14.1,5664.0,70.91752046248068,1.7915402667277203,3.4771907732814378,1.8144353500085857,0.2375364890389789,2.63,1.18829076456978
Oregon,Marion,346339,347775,346703,32694,58589,80981,55923,14.3,25.7,35.5,24.5,44959.0,70.11482791154339,1.9851345028342626,4.324647730672169,3.0774187115035017,1.3663779988596472,2.78,109.743370987885
Oregon,Morrow,12220,12358,12300,1710,2521,2562,792,22.5,33.2,33.8,10.4,1694.0,65.18151815181518,0.9470512268618166,3.508394317692639,0.8035586167312383,0.27981058975462764,2.82,2.13251582971064
Oregon,Multnomah,816467,805593,795083,45545,101565,167740,281836,7.6,17.0,28.1,47.2,97458.0,70.0383763513958,6.83230630907217,3.3037652683055194,9.162079778952217,1.0413148834455386,2.42,715.275377496115
Oregon,Polk,87950,89384,89614,4729,12871,21251,17269,8.4,22.9,37.9,30.8,9611.0,79.31260968175614,1.676912182756745,4.892191172093883,3.2327254441149007,0.8086944920516004,2.68,42.4323644554184
Oregon,Sherman,1873,1912,1955,163,397,494,231,12.7,30.9,38.4,18.0,243.0,85.18518518518519,0.9139009139009139,4.136604136604136,2.5974025974025974,1.3468013468013467,2.16,0.752407833045395
Oregon,Tillamook,27466,27800,27574,1902,5995,7925,4559,9.3,29.4,38.9,22.4,3974.0,83.3394081977534,0.9377381622982869,4.055800391000364,1.888730574240366,0.7820007289837304,2.34,9.13305677111626
Oregon,Umatilla,80098,80154,80215,8780,15548,18539,9513,16.8,29.7,35.4,18.2,9968.0,69.59040270396478,1.3842253896955816,6.039447644037269,1.4164683907406996,0.3924751506526428,2.69,9.23369788602913
Oregon,Union,26167,26276,26177,1269,5787,6207,4232,7.3,33.1,35.5,24.2,4446.0,86.38715809483578,1.3447389727883972,4.055338472911607,1.5911571091632344,2.161439081916429,2.41,4.93365839606412
Oregon,Wallowa,7401,7554,7659,334,1574,2131,1538,6.0,28.2,38.2,27.6,958.0,89.92796663717932,0.7708833565019588,3.4247440920005054,1.0994565904208264,0.4423101225830911,2.15,0.849796256990401
Oregon,Wasco,26631,26735,26561,2421,5035,7291,3912,13.0,27.0,39.1,21.0,3487.0,76.02852073778998,1.0946339503899842,6.346868409600642,1.7038797576406788,1.2218391189368325,2.41,4.19418432339164
Oregon,Washington,601101,602494,600176,28950,71481,124532,188259,7.0,17.3,30.1,45.6,51019.0,66.81300008126898,3.247065081675323,2.8420500469143644,12.813310381003745,1.1141238095941723,2.66,310.164458597462
