state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Alabama,Talladega,81428,80483,80704,9813,19830,18582,9138,17.1,34.6,32.4,15.9,14936.0,63.22451229955306,32.35421774373292,1.692728189848323,0.6885872816638708,0.0997102537332692,2.46,42.219157364741,22396.0,27.750793021411578,8387.0,10.420834213436377,3083.0,3.786166920469617,18.55795633860567
Kentucky,Webster,13017,12857,12726,1310,4194,2463,886,14.8,47.4,27.8,10.0,1944.0,87.96303088095063,4.731167021198562,2.699332502017164,0.4694491307855938,0.0880217120222988,2.56,15.2941624267743,3914.0,30.755932736130752,1340.0,10.422338025978066,442.0,3.395559652761773,15.120168001866688
Connecticut,Fairfield,957050,959768,956446,64225,136454,131954,322329,9.8,20.8,20.1,49.2,85452.0,63.49340397122313,11.73425965805181,1.199661823917607,5.784180978627535,0.1181364283388554,2.72,583.416530368637,214106.0,22.385581621962974,100048.0,10.42418584491252,29842.0,3.1181234000313465,8.903401655400055
Indiana,Knox,36248,35964,35789,2738,8575,8368,4509,11.3,35.4,34.6,18.6,5092.0,91.93548387096774,2.7517347317124847,1.6738174691456116,0.9693310027014144,0.1456644949414693,2.35,27.9900386259091,10800.0,30.176869987985132,3749.0,10.42431320209098,1333.0,3.677444272787464,14.158603047491935
Texas,McLennan,261177,263714,266836,21411,42373,52268,41378,13.6,26.9,33.2,26.3,37352.0,63.47792488442706,14.292406379079244,2.5860300352873598,2.29231063818147,0.1641272533304155,2.69,92.4857483664463,60473.0,22.662984005156726,27496.0,10.426446832553449,11956.0,4.57773846854815,14.16382899656446
Georgia,Cobb,766374,766691,771952,36579,93670,132789,253049,7.1,18.2,25.7,49.0,72765.0,53.62919512972283,26.428562121619525,1.888126715334692,6.087135744939429,0.1365752887566436,2.65,846.689777438231,176832.0,22.907123758990195,79948.0,10.427669034852372,26468.0,3.45366622562874,9.490785727235613
Kansas,Wichita,2149,2081,2064,208,490,574,280,13.4,31.6,37.0,18.0,231.0,74.34449374747882,1.0488100040338848,3.388463089955628,0.4840661557079467,0.3227107704719645,2.34,1.15148305076834,493.0,23.885658914728683,217.0,10.427679000480538,90.0,4.187994416007445,11.100432484382509
Georgia,Taylor,7819,7754,7737,1332,2121,1287,868,23.8,37.8,22.9,15.5,1744.0,60.01489203276247,36.55994043186895,1.2658227848101269,0.6453214197071234,0.1613303549267808,2.34,8.39780335235246,2003.0,25.888587307742018,809.0,10.433324735620324,316.0,4.041437523980049,22.491617229816868
Missouri,Howard,10151,10128,10168,798,2255,1716,1829,12.1,34.2,26.0,27.7,1152.0,88.06249415286743,6.539433062026383,2.535316680699785,0.7390775563663579,0.1683974179062587,2.63,8.41900627504426,2515.0,24.734461054287962,1057.0,10.436413902053712,359.0,3.5365973795685153,11.374407582938389
Kentucky,Russell,17995,18195,18178,2237,4630,3481,1994,18.1,37.5,28.2,16.2,4854.0,93.03974221267455,1.1224489795918366,1.6809881847475832,0.7357679914070892,0.1342642320085929,2.5,27.0294748250203,6446.0,35.4604466938057,1899.0,10.436933223413025,537.0,2.984162267296471,26.67765869744435
