"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"0500000US06005","Amador County, California","44674","null","34814","null","1527","null","2119","null","1100","null","291","null","4823","null",
"0500000US06007","Butte County, California","238365","null","172972","null","6612","null","13111","null","14054","null","1565","null","30051","null",
"0500000US06009","Calaveras County, California","50686","null","41149","null","695","null","2537","null","1393","null","347","null","4565","null",
"0500000US06011","Colusa County, California","26309","null","13460","null","323","null","1036","null","462","null","169","null","10859","null",
"0500000US06013","Contra Costa County, California","1335044","null","639244","null","124908","null","35275","null","260407","null","13771","null","261439","null",
"0500000US06015","Del Norte County, California","31455","null","20437","null","1193","null","3999","null","1223","null","190","null","4413","null",
"0500000US06017","El Dorado County, California","214731","null","167900","null","3073","null","7391","null","13482","null","1209","null","21676","null",
"0500000US06019","Fresno County, California","1180592","null","527116","null","61218","null","42825","null","128989","null","4541","null","415903","null",
"0500000US06021","Glenn County, California","33187","null","19496","null","383","null","2023","null","890","null","127","null","10268","null",
"0500000US06023","Humboldt County, California","154186","null","113434","null","3869","null","15367","null","5957","null","1199","null","14360","null",
"0500000US06025","Imperial County, California","230892","null","95543","null","5326","null","6987","null","4604","null","457","null","117975","null",
"0500000US06027","Inyo County, California","21371","null","13782","null","259","null","3261","null","460","null","96","null","3513","null",
"0500000US06029","Kern County, California","1063508","null","509830","null","61810","null","39501","null","57985","null","3957","null","390425","null",
"0500000US06031","Kings County, California","178001","null","83746","null","11248","null","6651","null","8433","null","1062","null","66861","null",
"0500000US06033","Lake County, California","77874","null","55413","null","2106","null","5090","null","1860","null","438","null","12967","null",
"0500000US06035","Lassen County, California","35562","null","23409","null","2555","null","2044","null","974","null","560","null","6020","null",
"0500000US06037","Los Angeles County, California","11604158","null","4614499","null","944640","null","327930","null","1697762","null","55817","null","3963510","null",
"0500000US06039","Madera County, California","182735","null","88665","null","5851","null","12054","null","5403","null","591","null","70171","null",
"0500000US06041","Marin County, California","294305","null","207268","null","9270","null","8380","null","24218","null","1469","null","43700","null",
"0500000US06043","Mariposa County, California","19356","null","15297","null","267","null","1335","null","506","null","121","null","1830","null",
